Probe	Region	Methylation
1700006J14Rik	Promoter	92.42937
1700006P19Rik	Gene_body	86.771095
1700006P19Rik	Promoter	98.24561
1700007B14Rik	Gene_body	36.889584
1700007B14Rik	Promoter	2.3935003
1700007G11Rik	Gene_body	7.746124
1700007G11Rik	Promoter	0.28218699
1700007I08Rik	Gene_body	96.74823
1700007I08Rik	Promoter	99.18154
1700007J10Rik	Gene_body	65.78901
1700007J10Rik	Promoter	98.28225
1700007K09Rik	Gene_body	92.5746
1700007K09Rik	Promoter	94.408066
1700007K13Rik	Gene_body	2.976443
1700007K13Rik	Promoter	1.8744028
1700007L15Rik	Gene_body	2.450593
1700007L15Rik	Promoter	12.545998
1700007M16Rik	Gene_body	10.287815
1700007M16Rik	Promoter	13.071896
1700007P06Rik	Gene_body	53.16333
1700007P06Rik	Promoter	96.23056
1700008A04Rik	Gene_body	3.6853137
1700008A04Rik	Promoter	3.043838
1700008F21Rik	Gene_body	40.98198
1700008F21Rik	Promoter	0.90909094
1700008I05Rik	Gene_body	19.211468
1700008I05Rik	Promoter	-1
1700008O03Rik	Gene_body	2.1622126
1700008O03Rik	Promoter	0.8553275
1700008P02Rik	Gene_body	8.69883
1700008P02Rik	Promoter	0
1700008P20Rik	Gene_body	5.2112393
1700008P20Rik	Promoter	14.267069
1700009N14Rik	Gene_body	5.6007123
1700009N14Rik	Promoter	1.1204482
1700009P17Rik	Gene_body	39.56371
1700009P17Rik	Promoter	1.0069444
1700010B08Rik	Gene_body	6.639145
1700010B08Rik	Promoter	10.909092
1700010D01Rik	Gene_body	18.681026
1700010D01Rik	Promoter	6.6964283
1700010H22Rik	Gene_body	0.2857143
1700010H22Rik	Promoter	4.166667
1700010I14Rik	Gene_body	81.923996
1700010I14Rik	Promoter	1.7295599
1700010K10Rik	Gene_body	6.2179966
1700010K10Rik	Promoter	1.3841043
1700010K24Rik	Gene_body	18.90716
1700010K24Rik	Promoter	1.3428599
1700010L04Rik	Gene_body	88.87916
1700010L04Rik	Promoter	-1
1700010M22Rik	Gene_body	95.53571
1700010M22Rik	Promoter	90.93806
1700011A15Rik	Gene_body	55.827236
1700011A15Rik	Promoter	4.6730886
1700011E24Rik	Gene_body	6.856619
1700011E24Rik	Promoter	16.953667
1700011F03Rik	Gene_body	4.3922663
1700011F03Rik	Promoter	2.607143
1700011F14Rik	Gene_body	84.33341
1700011F14Rik	Promoter	0.9263173
1700011H14Rik	Gene_body	53.95129
1700011H14Rik	Promoter	5.26801
1700011I03Rik	Gene_body	4.6938744
1700011I03Rik	Promoter	37.16645
1700011J10Rik	Gene_body	11.038567
1700011J10Rik	Promoter	16.54895
1700011L22Rik	Gene_body	7.9448147
1700011L22Rik	Promoter	1.0317461
1700011M02Rik	Gene_body	12.893219
1700011M02Rik	Promoter	30.289091
1700012A03Rik	Gene_body	98.59895
1700012A03Rik	Promoter	93.42438
1700012A16Rik	Gene_body	32.72106
1700012A16Rik	Promoter	0.697832
1700012B07Rik	Gene_body	4.8596077
1700012B07Rik	Promoter	2.34127
1700012B09Rik	Gene_body	3.0935197
1700012B09Rik	Promoter	2.4356468
1700012B15Rik	Gene_body	95.732216
1700012B15Rik	Promoter	11.865726
1700012C08Rik	Gene_body	1.6666667
1700012C08Rik	Promoter	5.2106957
1700012C14Rik	Gene_body	1.4376742
1700012C14Rik	Promoter	1.1131313
1700012L04Rik	Gene_body	54.884926
1700012L04Rik	Promoter	83.01154
1700012P22Rik	Gene_body	91.04536
1700012P22Rik	Promoter	-1
1700013D24Rik	Gene_body	5.3591824
1700013D24Rik	Promoter	0.95238096
1700013F07Rik	Gene_body	1.5712408
1700013F07Rik	Promoter	0.7193516
1700013G23Rik	Gene_body	2.0555556
1700013G23Rik	Promoter	23.87731
1700013G24Rik	Gene_body	0.5311853
1700013G24Rik	Promoter	2.7314816
1700013H16Rik	Gene_body	14.72501
1700013H16Rik	Promoter	13.949252
1700013N06Rik	Gene_body	6.6468835
1700013N06Rik	Promoter	9.568966
1700013N18Rik	Gene_body	94.17023
1700013N18Rik	Promoter	96.992004
1700014D04Rik	Gene_body	65.02483
1700014D04Rik	Promoter	88.17867
1700014N06Rik	Gene_body	91.73494
1700014N06Rik	Promoter	89.864136
1700015E13Rik	Gene_body	43.831715
1700015E13Rik	Promoter	66.88038
1700015F17Rik	Gene_body	4.20201
1700015F17Rik	Promoter	1.5
1700015O11Rik	Gene_body	90.92064
1700015O11Rik	Promoter	10.189487
1700016C15Rik	Gene_body	72.4403
1700016C15Rik	Promoter	46.79149
1700016D06Rik	Gene_body	2.5849726
1700016D06Rik	Promoter	1.3813304
1700016G14Rik	Gene_body	97.52944
1700016G14Rik	Promoter	96.24327
1700016H13Rik	Gene_body	42.49145
1700016H13Rik	Promoter	1.5186404
1700016K19Rik	Gene_body	1.6486839
1700016K19Rik	Promoter	1.3394455
1700016M24Rik	Gene_body	4.6839995
1700016M24Rik	Promoter	3.68254
1700016P03Rik	Gene_body	11.778556
1700016P03Rik	Promoter	2.2291298
1700017B05Rik	Gene_body	96.91241
1700017B05Rik	Promoter	95.49597
1700017D01Rik	Gene_body	15.103528
1700017D01Rik	Promoter	7.7043576
1700017G19Rik	Gene_body	2.1938877
1700017G19Rik	Promoter	2.0679011
1700017J07Rik	Gene_body	97.14286
1700017J07Rik	Promoter	97.26467
1700017N19Rik	Gene_body	3.2717097
1700017N19Rik	Promoter	4.6258507
1700018A04Rik	Gene_body	2.2449737
1700018A04Rik	Promoter	1.4309764
1700018A14Rik	Gene_body	1.0698199
1700018A14Rik	Promoter	1.6897194
1700018B08Rik	Gene_body	27.588745
1700018B08Rik	Promoter	1.017992
1700018B24Rik	Gene_body	9.552238
1700018B24Rik	Promoter	11.478603
1700018C11Rik	Gene_body	14.296499
1700018C11Rik	Promoter	12.39418
