gene	Normal_1	Normal_2	Normal_3	Normal_4	Normal_5	Normal_6	Normal_7	Normal_8	Normal_9	Normal_10	Normal_11	Normal_12	Normal_13	Normal_14	Normal_15	Normal_16	Normal_17	Normal_18	Normal_19	Normal_20	Normal_21	Normal_22	Normal_23	Normal_24	Normal_25	Normal_26	Normal_27	Normal_28	Normal_29	Normal_30	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48
AGER	-0.4402633	1.0292763	1.1123673	-1.1877073	1.7999163	1.5670593	2.1160323	0.0482363	0.5518853	1.2246583	2.0172093	0.6210563	1.5043663	1.6420083	1.2636353	1.1446993	1.6355223	1.5479433	1.4547023	1.100896065	1.875519497	1.932120144	2.172203421	1.228828725	2.027491369	1.841659481	1.060940142	2.344994931	0.773833548	2.22145894	-0.163574169	-1.717115818	-1.953068638	-2.52603062	-1.533244322	-1.228423764	-1.794598519	-0.850718973	-0.88924557	-2.081701732	-1.478840204	-1.635712835	-1.237955887	-1.813386663	-0.747819666	-1.007640772	-1.390772781	-1.624143528	-1.878669106	-2.32330013	-2.730813367	-2.196789565	-1.580003564	-1.92823483	-1.981151685	-1.082098146	-0.66203412	-2.129700524	-2.153550986	-2.59512748	-1.241387025	-1.652703274	-1.668340187	-2.053652879	-1.532750414	-1.367731785	-1.986371201	-1.663879558	-1.697457402	-2.377840238	-1.441784101	-2.141412314	-1.858877977	-1.942264926	-2.210458231	0.779315169	-2.006009847	-2.025972923
LOC346085	-2.5228413	-2.2933593	-2.6170563	-1.8059133	-2.2446853	-2.5063533	-2.6803823	-1.9657843	-2.3075733	-2.2310753	-2.1520033	-2.1456053	-2.3147333	-2.4035423	-2.3364283	-1.2722973	-2.9885043	-2.5228413	-2.7563313	-1.70743669	-1.986987924	-1.806755196	-2.207885681	-2.00874326	-2.224864483	-1.143695357	-2.210142219	-2.342029733	-2.91579551	-2.140990101	-0.326533261	1.636324511	-0.286151031	0.352527105	0.451955037	-0.074661491	-0.695091943	0.038062218	-0.69481792	0.414105225	-0.053157345	-1.09116904	-0.535630955	-2.12691564	-0.895628473	0.457945748	-0.50352999	-0.659012911	-1.362161554	-1.599260884	0.358348511	0.436900213	-1.45525969	-2.69206237	-2.087772407	-1.446011572	-0.775013264	0.336437898	0.544842192	-0.027657995	-0.350694917	0.718129407	1.340690914	-0.528325653	-0.71897486	0.586591025	0.136091621	0.375484125	-0.283719432	0.710744658	-0.176862502	1.752432746	1.169335143	2.603209643	0.399938874	-0.233519725	0.636983925	0.524819144
SFN	-1.8677523	-1.4305093	-0.7661123	-0.8730273	-1.3111483	-1.6214883	-1.6438563	-0.2968993	-1.4779443	-1.8836353	-2.0528953	-0.9213903	-0.5022603	-1.4266253	-1.3921373	-2.1976003	-2.0649173	-1.2792843	-1.9601603	-0.861023587	-1.809297946	0.755314904	-0.888810141	-0.645043105	-1.767890167	-0.954557029	-1.6940735	-1.498201189	-2.674034338	-0.342232191	-0.068759543	2.504412001	3.461580085	1.147361278	2.539810464	2.109419101	1.126757142	1.955937344	-0.169029196	2.688887662	1.972201548	1.121869502	2.115209779	0.823574439	-0.212247864	1.619843863	2.893084796	1.362734311	1.018752883	-2.766569307	1.912283854	1.060137702	1.543974089	0.007268	0.319177484	2.660768795	2.527491433	2.625104778	1.557995453	2.218894977	1.480854097	1.671959831	3.018467547	2.098052373	2.126108769	2.59255565	2.295210757	1.455882552	3.504344041	2.879450068	2.313416595	2.026364704	3.189033824	1.845376206	2.882374316	1.606038768	3.037838756	2.321283891
DSG3	-0.186253	-0.0839805	0.3359508	0.2056023	-0.2435258	-0.3022908	-0.1042245	-0.0177125	0.007372	-0.0784345	-0.1965045	-0.3171373	-0.0693525	-0.1336205	-0.065797	-0.2728913	0.1768625	-0.072662	-0.2556208	0.021239658	0.043784773	-0.078470188	-0.0594661005	0.00190580700000001	-0.3285767885	0.1370216705	0.0986521825	0.0289149325	0.092901327	-0.18135443	-0.520665664	3.916046961	2.122863536	3.464045414	3.055031871	3.883404568	1.246955792	3.1575291915	0.052182631	3.6882187255	1.7554721465	2.4528589415	3.5853084945	3.2430613465	1.4835777595	3.4824344455	2.230491835	3.7878010665	2.9722044425	-0.378736237	4.2655123865	3.443141775	3.931248271	0.739315949	1.513405874	2.1983591075	2.1477139085	2.028647956	3.43057562	2.6965053315	2.4329422485	2.624432506	3.3176807135	4.081730171	2.7137913975	3.40130027	2.674547328	3.2459279445	3.345639227	4.212871842	4.6172005315	3.1478233065	3.7946543055	3.1881984945	4.7035713225	1.708592983	3.849815971	3.428076491
AQP4	2.5525963	2.4805468	3.2527853	2.3709383	3.3385263	3.2996078	3.3728938	3.2626408	3.1197463	3.2055718	3.6158463	3.5134748	3.0814613	3.0030003	3.5003518	2.9813483	1.5468108	2.8378593	2.9968703	3.3734116335	2.985695165	2.8479525195	2.972778771	2.533468189	2.954927758	3.2974078335	3.697873136	2.754278979	2.7001197145	2.3586434155	-0.0410711165	0.7679037705	0.98725397	-1.585360008	2.0900758095	0.40485448	1.1749769195	1.2128156355	1.9803204595	0.4279478665	0.0185649165	1.0265809725	1.1775806165	-0.1688646995	2.995552296	1.197107517	0.569908437	-1.0480038355	-0.507832276	-1.739166878	-1.1172225025	-0.538448019	-0.240465078	0.4879992485	-0.860324999	-0.1726545935	2.142325823	-1.118283601	1.0587248985	-1.2707269685	2.169870433	0.13827384	-1.3063537455	-0.216349411	-0.1565494805	-0.38926112	0.1329388815	-1.195089297	-1.058264372	-1.0720745325	2.586894459	-0.00747041349999999	-0.7359820175	-0.531420333	0.425664104	3.3574955495	0.980089479	0.441786054
KRT15	-1.0057823	-0.5022603	-0.5353323	0.1839633	-0.6642883	-0.5104573	-0.5950973	0.3895673	-0.8033933	-0.6574453	-0.6551723	-0.1218633	-0.7636603	-0.7107563	-0.5187013	-0.6438563	-0.4679323	-0.5104573	-1.1015983	-0.355777225	-0.350321534	-0.404607594	-0.510761559	-0.15693936	-0.45616073	-0.072240124	-0.443807738	-0.479577751	-0.575668386	-0.314552756	0.067002855	1.189403065	1.580828701	1.61632024	0.056337984	0.553993523	-0.120076452	2.831400396	-0.23926624	2.642660241	0.601671498	-0.178883177	2.591346533	0.349596802	0.36020337	2.580379206	0.317672925	2.270848807	2.420492994	-1.010441747	1.019145049	1.652966608	1.793328037	0.441837559	1.598912059	0.981562752	0.967624964	0.234348526	2.540108265	2.314446514	2.62157016	0.678687258	2.318794071	1.370249578	1.977584485	1.915449499	1.615405819	1.421168809	1.075187496	2.424026283	0.407695524	1.975387864	2.602638476	2.824899827	2.338970579	1.411690177	0.524744978	2.443517931
MMP12	-0.5756153	0.2797683	0.6294733	0.6951033	0.1724883	0.0579703	-0.1140353	0.2951353	0.2053933	-0.0785643	-0.0649173	-0.0664273	0.1361913	-0.2740413	-0.0558913	0.1322483	0.0271543	0.1137003	-0.2498223	0.479119954	0.107077223	0.500012628	0.157541277	0.436386819	0.225669582	0.381870635	0.210896782	0.195550809	0.36415633	0.314510623	0.668553251	4.199522272	2.817775964	4.091910189	3.823229852	4.427194441	3.168563583	3.742320097	1.700955796	3.427260976	1.910139196	2.592378851	2.57701319	4.20205822	1.514421022	3.36241312	3.186145744	3.816124579	1.476159289	1.112800602	4.663248311	4.528779665	1.746407653	1.655040936	1.884840802	1.987927168	3.835634272	4.49900854	3.80884045	3.232306873	2.135424926	1.454015983	3.618208434	3.838279495	3.674348423	2.183872615	1.618841499	3.907352037	3.247521406	1.371094152	2.241594951	2.616116157	1.708573994	3.773884175	4.269092791	1.910789295	3.750077369	4.833032467
CTHRC1	-1.2722973	-1.6170563	-1.8416633	-0.1171613	-2.2863043	-2.2378643	-2.3364283	-1.6082323	-1.3510743	-1.9489763	-1.5820803	0.0028833	-2.5228413	-2.1778823	-1.5479323	-1.7178573	-2.2108973	-2.1140353	-2.4111953	-0.914865475	-1.621043946	-2.119091487	-1.989054493	-1.440883327	-1.702420082	-1.237909812	-1.087210996	-1.870786129	-2.20483405	-2.093932967	-0.08742206	0.692806246	0.789530227	-0.045974309	1.454524249	2.115620221	2.211533276	-0.068311874	-0.485585113	1.223632703	0.920575929	1.806057408	0.318277485	-0.667727289	2.337617425	0.876038971	1.476637695	1.22179642	0.129732024	-0.758071227	2.152131441	2.336114608	1.481749224	-0.258939328	-1.253536708	-0.826942727	1.744795709	1.71381971	1.166146662	1.599616716	0.977133933	1.830142438	1.779878077	0.246089806	1.583741873	1.173775858	1.891182294	1.678927435	1.047734122	1.803784777	1.255907532	1.438485578	-0.414553292	1.967236935	1.893084796	0.489719767	1.884260946	1.558900204
ADH1B	1.8976283	2.7735743	2.8219143	3.2072683	3.5196683	3.3946513	3.7794703	2.7484613	3.1376673	3.4290803	3.8300523	2.9111163	2.8633443	4.0493693	2.9472923	3.3626103	2.6102283	3.5938323	3.0607393	2.949474839	3.343652866	2.169470251	1.608178784	2.546741256	3.200791657	3.083240279	3.360828267	2.84899658	2.467468938	2.370795296	0.229926094	-1.272137477	0.543247482	-2.53305097	-0.433454491	-0.499694643	0.250839109	0.615499807	-0.151311085	-0.147679329	-1.354527282	0.152634701	-0.426827001	-1.063144347	0.490106828	-1.371432138	-1.286156964	-1.2592258	0.510136226	-2.879293037	-2.962604918	-0.830893682	-1.437168669	-1.705457793	-1.942065231	-0.934411658	1.086804828	-2.467414204	-1.977611768	-3.077523371	1.492874529	-0.651889855	-2.202311819	-1.67251238	-0.66259898	-1.347154071	-1.632096476	-2.316027493	-2.518291461	0.064099694	0.139041168	-2.14784187	-1.416975304	-1.778532087	-0.692849174	2.236353641	-1.617583193	-0.692254265
PI3	-1.2209503	-0.4402633	-0.4619593	-0.6780723	-0.4383073	-0.5187013	-0.5799223	-0.7249933	-0.9323613	-0.6303943	-0.8916433	-0.6237103	-0.7858753	-0.3183263	-0.6943213	-1.1234343	-0.6529013	-0.5820803	-0.8783213	-0.101833497	-0.463333056	-0.68589141	-0.300509111	-0.765965466	-0.596701337	-0.545434137	-0.62963155	-0.536452964	0.736965594	-0.903973112	-0.104301231	2.121015401	0.546443688	0.81832604	0.043721377	2.953231073	1.892324482	2.313815449	-0.627341103	2.97070773	0.184557119	-0.887788507	0.996986012	3.309991774	0.193775546	-0.417432014	-0.194303666	0.781061406	-0.306103128	-0.629162305	3.558188299	1.184138861	-0.539703888	0.289118535	-0.551750722	2.115859844	3.99700789	1.744023353	2.371353312	0.403747486	-0.595746176	0.20982704	2.313332071	2.681981479	-0.055448739	4.007892094	1.202629167	1.65829128	3.275187083	1.711180217	0.308648155	3.133365156	1.861802706	-0.669458775	3.470077787	-0.433962498	1.612081627	2.843164998
CDH5	0.0214803	1.3357123	1.6526013	0.5518853	1.5572883	1.8718443	2.0686713	0.3033423	1.1063483	1.3253863	0.8155753	0.5340623	1.6144743	1.5002923	1.5150063	1.0440443	-0.1552133	1.9807573	1.2533843	1.201514832	1.330037072	1.632587667	1.25758185	0.836024265	1.833172259	1.55987152	1.242113754	2.015649727	0.728566711	0.702264503	1.240120748	-0.644100349	-0.404278153	-2.021123292	-0.194503024	-0.172123845	-0.575576033	-0.007177602	-0.816660355	-1.271201727	-1.075793688	-0.943329977	-0.603770234	-1.28828631	0.292971997	-0.379733613	-0.341345549	-1.373261923	-1.226611354	-1.384570547	-1.782590238	-1.690650401	-0.896712192	-1.94453537	-2.777336777	-1.571206067	0.218662919	-1.499661463	-1.444302094	-1.34612779	-0.822813717	-0.914391284	-1.502761438	-1.73057677	-1.05639917	-0.816933899	-0.904367821	-1.434182549	-0.935869663	-1.471987791	-0.603257129	-1.342186934	-1.391868335	-1.28244389	-1.031848866	0.96096597	-1.267480311	-0.917742318
SPRR1A	-0.9434163	-0.0923403	-1.4900513	-0.4285663	0.0731353	-0.2845463	-0.4150373	-0.0424573	0.1296133	-0.1078033	-0.2688173	-0.1313133	-0.1520033	-0.0439433	-0.3959293	-0.0543923	0.5139963	0.0172093	-0.6192713	-0.488747185	-0.390980232	0.171711621	0.094859186	0.03970971	-0.309684499	0.471621028	-0.757865675	0.475213014	-0.139162748	0.322905862	0.625162299	1.432565013	1.285938238	0.966078417	-0.28228229	2.143655751	0.788262958	1.503225495	-0.835529429	1.63174226	0.694477369	0.799232126	3.121860078	3.097547986	2.489772297	1.283792966	0.37470894	0.724213687	0.880481319	-0.504720213	2.342538375	0.08246216	-0.640149422	1.760642177	1.81033878	2.082168542	3.334064402	1.807354922	1.923986589	2.72762773	1.43937946	-0.241888597	0.732414502	2.934411658	1.769054232	3.32277153	1.742736382	0.306745897	2.652076697	1.89662226	2.746358729	0.776561769	3.794456356	2.295798363	2.016235103	1.214247332	2.354430735	2.335775741
AKR1B10	-3.5395203	-2.4035423	-3.0709673	-2.6711643	-3.0954203	-2.3075733	-2.3733273	-2.6989983	-2.5145733	-2.5907453	-2.2042333	-2.7759603	-2.6170563	-2.1140353	-3.0831413	-2.8677523	-2.6896603	-2.5479323	-3.3219283	-1.85391897	-2.383110316	-2.268898111	-2.624531779	-2.793263072	-1.877301434	-2.002802711	-2.708161566	-2.571778736	-2.765320155	-2.267616975	2.911224729	0.964704575	2.417855814	-2.258086846	1.574268833	1.026625095	-2.388200033	3.506318316	-2.695956655	3.721955119	0.528335336	-2.334454851	-0.30951432	1.235634659	-1.682922107	1.080104341	0.561571991	-0.913101888	-2.786438478	-2.341755008	2.648406149	2.774526604	0.421957975	-2.750408847	-2.477434036	1.270365053	-2.003164037	-2.843965065	3.627386972	1.994146241	1.780057335	3.417220815	1.810480533	2.527711887	0.579846078	-0.614214603	2.715465152	-2.90595449	-1.532885051	4.903548409	-2.718867737	3.206358469	0.857287897	-2.229804812	1.436142232	-1.232451317	-0.399870513	1.95169804
PTPRZ1	-0.6989983	0.1978653	0.2809563	0.7536053	-0.3364283	-0.1124753	-0.2481083	-0.0188783	-0.2968993	-0.3902453	-0.1713683	-0.2915923	-0.2092283	-0.3529163	-0.1746213	-0.1729943	-0.5395203	-0.1297343	-0.5734673	0.258574758	-0.156570256	-0.078002512	-0.242823267	-0.310340121	-0.264095601	0.07521115	-0.288731496	-0.328191468	-0.639017918	-0.511550414	0.574515713	2.420975464	0.930503153	2.773107278	1.218834602	0.611520712	-0.224737886	2.291114215	-0.139857664	3.953608583	0.684501339	0.141195073	2.434782878	1.219887407	0.420154142	0.893266713	-0.280900827	1.884020064	1.897443035	-0.601929708	2.979750188	3.030644709	1.542972833	-0.057603977	0.543181397	1.250631126	1.015008666	0.228441466	2.35791622	1.493395261	1.046031042	2.765773557	1.255411165	1.846467007	1.840900944	1.366840517	0.801943563	2.098290898	0.70882263	4.020812682	1.662520902	2.135712468	1.064504399	3.080993883	3.021978369	0.948341946	2.4982773	2.680835457
